year,month,month_name,order_count,total_revenue,avg_order_value
2015,1,January,77,14205.71,184.49
2015,2,February,46,4519.89,98.26
2015,3,March,154,55205.8,358.48
2015,4,April,130,27906.85,214.67
2015,5,May,121,23644.3,195.41
2015,6,June,131,34322.94,262.01
2015,7,July,142,33781.54,237.9
2015,8,August,146,27117.54,185.74
2015,9,September,267,81623.53,305.71
2015,10,October,159,31453.39,197.82
2015,11,November,306,77907.66,254.6
2015,12,December,274,68167.06,248.78
2016,1,January,57,18066.96,316.96
2016,2,February,64,11951.41,186.74
2016,3,March,128,32339.32,252.65
2016,4,April,159,34154.47,214.81
2016,5,May,143,29959.53,209.51
2016,6,June,129,23599.37,182.94
2016,7,July,136,28608.26,210.35
2016,8,August,158,36818.34,233.03
2016,9,September,285,63133.61,221.52
2016,10,October,164,31011.74,189.1
2016,11,November,321,75249.4,234.42
2016,12,December,311,74543.6,239.69
2017,1,January,89,18542.49,208.34
2017,2,February,83,22978.82,276.85
2017,3,March,161,51165.06,317.8
2017,4,April,168,38679.77,230.24
2017,5,May,221,56656.91,256.37
2017,6,June,196,39724.49,202.68
2017,7,July,196,38320.78,195.51
2017,8,August,175,30542.2,174.53
2017,9,September,349,69193.39,198.26
2017,10,October,192,59583.03,310.33
2017,11,November,366,79066.5,216.03
2017,12,December,338,95739.12,283.25
2018,1,January,143,43476.47,304.03
2018,2,February,104,19921.0,191.55
2018,3,March,237,58863.41,248.37
2018,4,April,200,35541.91,177.71
2018,5,May,240,43825.98,182.61
2018,6,June,235,48190.73,205.07
2018,7,July,223,44825.1,201.01
2018,8,August,214,62837.85,293.63
2018,9,September,453,86152.89,190.18
2018,10,October,294,77448.13,263.43
2018,11,November,456,117938.16,258.64
2018,12,December,459,83030.39,180.89
