category,sub_category,order_count,total_revenue,avg_order_value
Technology,Phones,876,327782.45,374.18
Furniture,Chairs,607,322822.73,531.83
Office Supplies,Storage,832,219343.39,263.63
Furniture,Tables,314,202810.63,645.89
Office Supplies,Binders,1492,200028.79,134.07
Technology,Machines,115,189238.63,1645.55
Technology,Accessories,756,164186.7,217.18
Technology,Copiers,66,146248.09,2215.88
Furniture,Bookcases,226,113813.2,503.6
Office Supplies,Appliances,459,104618.4,227.93
Furniture,Furnishings,931,89212.02,95.82
Office Supplies,Paper,1338,76828.3,57.42
Office Supplies,Supplies,184,46420.31,252.28
Office Supplies,Art,785,26705.41,34.02
Office Supplies,Envelopes,248,16128.05,65.03
