product_name,category,sub_category,times_ordered,total_revenue
Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,5,61599.82
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,10,27453.38
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,1,22638.48
HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,8,21870.58
GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,11,19823.48
GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,9,19024.5
Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,8,18839.69
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,3,18374.9
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,6,17965.07
High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,3,17030.31
